
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  6  minutes,  9  seconds.
         10984503 function calls (10890734 primitive calls) in 369.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.001    0.000    0.019    0.000 codecs.py:429(read)
      585    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:201(acquire)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:226(release)
     41/9    0.001    0.000    0.459    0.051 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
        1    0.001    0.001    0.079    0.079 decimal.py:113(<module>)
      188    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
       20    0.001    0.000    0.113    0.006 re.py:268(_compile)
      199    0.001    0.000    0.001    0.000 sre_parse.py:140(append)
       20    0.001    0.000    0.016    0.001 sre_compile.py:365(_compile_info)
       54    0.001    0.000    0.002    0.000 sre_compile.py:358(_simple)
      200    0.001    0.000    0.001    0.000 sre_parse.py:128(__len__)
       60    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.001    0.001    0.051    0.051 {built-in method getaddrinfo}
        1    0.001    0.001    0.001    0.001 dbapi.py:27(<module>)
       36    0.001    0.000    0.024    0.001 sre_compile.py:179(_compile_charset)
       20    0.001    0.000    0.070    0.004 sre_parse.py:738(parse)
       20    0.001    0.000    0.112    0.006 sre_compile.py:489(compile)
      136    0.001    0.000    0.001    0.000 sre_parse.py:92(__init__)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1459(__exit__)
       57    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:181(__init__)
        9    0.001    0.000    0.001    0.000 datetime.py:301(__new__)
       61    0.001    0.000    0.001    0.000 __init__.py:58(__setitem__)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1455(__enter__)
       80    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
       46    0.001    0.000    0.001    0.000 sre_parse.py:297(_escape)
        3    0.001    0.000    0.001    0.000 {built-in method dir}
        1    0.001    0.001    0.001    0.001 decimal.py:547(Decimal)
       34    0.001    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        3    0.000    0.000    0.001    0.000 decimal.py:3888(__init__)
        3    0.000    0.000    0.010    0.003 __init__.py:297(namedtuple)
    85/80    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 configparser.py:1108(_join_multiline_values)
       14    0.000    0.000    0.001    0.000 abc.py:132(<setcomp>)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
     11/8    0.000    0.000    0.120    0.015 {built-in method __import__}
        1    0.000    0.000    0.000    0.000 tarfile.py:737(TarInfo)
       28    0.000    0.000    0.002    0.000 configparser.py:755(get)
        1    0.000    0.000    0.032    0.032 sopdscfg.py:23(__init__)
       37    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       62    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       71    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
     41/9    0.000    0.000    0.459    0.051 <frozen importlib._bootstrap>:1019(load_module)
      133    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       82    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.006    0.006 tarfile.py:29(<module>)
       15    0.000    0.000    0.136    0.009 <frozen importlib._bootstrap>:1126(load_module)
        5    0.000    0.000    0.000    0.000 {built-in method listdir}
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
        1    0.000    0.000    0.027    0.027 stringprep.py:6(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:74(MySQLConnection)
       49    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       56    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap>:1305(find_module)
        1    0.000    0.000    0.014    0.014 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:222(decorating_function)
       79    0.000    0.000    0.021    0.000 codecs.py:620(__next__)
       28    0.000    0.000    0.000    0.000 configparser.py:1126(_unify_values)
