Извлечение обложек - отключено
В Индексе таблицы каталогов присутсвует 'path'


[root@dsgate py]# ../speed
books   books_min
2841    781.9266

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  3  minutes,  38  seconds.
         9935229 function calls (9841414 primitive calls) in 218.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2006    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     1963    0.003    0.000    0.003    0.000 cursor.py:106(description)
   178/74    0.003    0.000    0.003    0.000 sre_parse.py:142(getwidth)
        1    0.003    0.003    0.010    0.010 configparser.py:986(_read)
      808    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_verbose_message)
       57    0.002    0.000    0.042    0.001 <frozen importlib._bootstrap>:1473(_find_module)
      506    0.002    0.000    0.004    0.000 sre_parse.py:132(__getitem__)
       41    0.002    0.000    0.050    0.001 <frozen importlib._bootstrap>:1031(get_data)
       56    0.002    0.000    0.037    0.001 <frozen importlib._bootstrap>:1278(_get_loader)
       36    0.002    0.000    0.018    0.001 sre_compile.py:208(_optimize_charset)
        1    0.002    0.002    0.002    0.002 zipf.py:460(_GenerateCRCTable)
      184    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:86(_path_split)
       41    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
       15    0.002    0.000    0.002    0.000 sre_compile.py:259(_mk_bitmap)
       41    0.002    0.000    0.089    0.002 <frozen importlib._bootstrap>:935(get_code)
     41/9    0.001    0.000    0.353    0.039 <frozen importlib._bootstrap>:850(_load_module)
     57/9    0.001    0.000    0.357    0.040 <frozen importlib._bootstrap>:1509(_find_and_load_unlocked)
       79    0.001    0.000    0.004    0.000 codecs.py:509(readline)
       82    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
       82    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:796(is_package)
    220/9    0.001    0.000    0.354    0.039 <frozen importlib._bootstrap>:581(_check_name_wrapper)
       67    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
    65/20    0.001    0.000    0.049    0.002 sre_parse.py:353(_parse_sub)
       42    0.001    0.000    0.002    0.000 codecs.py:429(read)
      397    0.001    0.000    0.003    0.000 sre_parse.py:204(match)
     25/6    0.001    0.000    0.003    0.000 abc.py:191(__subclasscheck__)
     57/9    0.001    0.000    0.358    0.040 <frozen importlib._bootstrap>:1559(_find_and_load)
      585    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       44    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x49412f60}
       14    0.001    0.000    0.004    0.000 abc.py:129(__new__)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:201(acquire)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:226(release)
     41/9    0.001    0.000    0.354    0.039 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
        9    0.001    0.000    0.002    0.000 datetime.py:301(__new__)
       60    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      188    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
        1    0.001    0.001    0.001    0.001 zipf.py:1040(<listcomp>)
        1    0.001    0.001    0.024    0.024 {built-in method getaddrinfo}
       20    0.001    0.000    0.013    0.001 sre_compile.py:365(_compile_info)
      199    0.001    0.000    0.001    0.000 sre_parse.py:140(append)
        1    0.001    0.001    0.049    0.049 decimal.py:113(<module>)
       20    0.001    0.000    0.083    0.004 re.py:268(_compile)
       80    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
       54    0.001    0.000    0.001    0.000 sre_compile.py:358(_simple)
       61    0.001    0.000    0.001    0.000 __init__.py:58(__setitem__)
      2/1    0.001    0.000    0.107    0.107 sopds-scan.py:4(<module>)
       36    0.001    0.000    0.019    0.001 sre_compile.py:179(_compile_charset)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1455(__enter__)
      200    0.001    0.000    0.001    0.000 sre_parse.py:128(__len__)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1459(__exit__)
       20    0.000    0.000    0.050    0.003 sre_parse.py:738(parse)
      136    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       20    0.000    0.000    0.082    0.004 sre_compile.py:489(compile)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:181(__init__)
        1    0.000    0.000    0.001    0.001 configparser.py:1108(_join_multiline_values)
        1    0.000    0.000    0.011    0.011 datetime.py:5(<module>)
       28    0.000    0.000    0.002    0.000 configparser.py:755(get)
        3    0.000    0.000    0.000    0.000 {built-in method dir}
       34    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.001    0.001 dbapi.py:27(<module>)
       46    0.000    0.000    0.001    0.000 sre_parse.py:297(_escape)
        3    0.000    0.000    0.001    0.000 decimal.py:3888(__init__)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
    85/80    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
       14    0.000    0.000    0.001    0.000 abc.py:132(<setcomp>)
        3    0.000    0.000    0.007    0.002 __init__.py:297(namedtuple)
       71    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
       62    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       37    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.014    0.014 sopdscfg.py:23(__init__)
       79    0.000    0.000    0.004    0.000 {built-in method next}
        1    0.000    0.000    0.019    0.019 ssl.py:55(<module>)
     41/9    0.000    0.000    0.354    0.039 <frozen importlib._bootstrap>:1019(load_module)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
       82    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       52    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.004    0.004 stringprep.py:6(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:222(decorating_function)
       28    0.000    0.000    0.000    0.000 configparser.py:1126(_unify_values)
       79    0.000    0.000    0.004    0.000 codecs.py:620(__next__)
      133    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     11/8    0.000    0.000    0.072    0.009 {built-in method __import__}
       57    0.000    0.000    0.000    0.000 {built-in method utf_8_decode}
        1    0.000    0.000    0.000    0.000 decimal.py:547(Decimal)
       15    0.000    0.000    0.096    0.006 <frozen importlib._bootstrap>:1126(load_module)
        1    0.000    0.000    0.004    0.004 socket.py:45(<module>)
       79    0.000    0.000    0.005    0.000 codecs.py:689(__next__)
       28    0.000    0.000    0.000    0.000 __init__.py:784(__getitem__)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1041(path_stats)
       56    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap>:1305(find_module)
      236    0.000    0.000    0.000    0.000 {built-in method release_lock}
        5    0.000    0.000    0.058    0.012 __init__.py:69(search_function)
        9    0.000    0.000    0.000    0.000 {built-in method round}
        1    0.000    0.000    0.044    0.044 shutil.py:5(<module>)
       16    0.000    0.000    0.097    0.006 <frozen importlib._bootstrap>:496(set_package_wrapper)
     41/9    0.000    0.000    0.354    0.039 <frozen importlib._bootstrap>:997(load_module)
        5    0.000    0.000    0.000    0.000 {built-in method listdir}
        1    0.000    0.000    0.004    0.004 tarfile.py:29(<module>)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(get_filename)
       20    0.000    0.000    0.031    0.002 sre_compile.py:474(_code)
      169    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
       25    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        7    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:38(_relax_case)
     63/9    0.000    0.000    0.298    0.033 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
